Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Y7V4OQsBm3w,Sunday Morning Worship Service - 4/14/24 - Dean Luke Powery,15-Apr-24,6021,6,33,16,1412,450.7337,5,14540,5.3
_Wv2PORs7XU,Sounds of Faith: Called to Ventures & Fugue in E-flat Major,3-Jun-20,429,6,0,2,84,4.0101,1,1456,1.79
aXxJPi6RTHY,Christmas Eve Children's Service,24-Dec-18,3117,6,4,12,1501,132.4233,0,13518,4.76
ddsgqyTxMEw,Convocation and Pastors’ School Worship Service,7-Oct-19,4751,6,0,5,302,32.3865,1,11187,1.12
e7AtVAbd7jg,Choir of St. Martin-in-the-Fields - 6/9/14,10-Jun-14,6038,6,68,42,18964,1273.5631,26,49269,7.48
eAech6HYK0A,Choral Evensong Worship Service - 5/22/16,22-May-16,4410,6,10,16,3278,527.8163,1,7737,5.64
eeNswHxpw-Y,Sunday Service - 12/5/10 - Walter Brueggemann,6-Dec-10,4287,6,46,36,11101,992.4539,18,24753,4.7
etmkM8LzQfM,Sunday Morning Worship Service 9-29-19,29-Sep-19,5584,6,0,0,411,81.7809,0,1165,9.61
fa5DYgtFOjE,North Carolina Boy's Choir Concert - 12/17/12,18-Dec-12,9240,6,12,16,4052,407.118,3,4739,4.22
ihjQ5VHLdkk,Music of the Sistine Chapel: Duke Vespers Ensemble Concert Live,21-Apr-12,4202,6,49,36,10645,1073.9553,12,19341,4.58
iu47IEOdSuU,Hippocratic Oath Ceremony: Duke School of Medicine,9-May-15,5952,6,11,10,1548,120.0038,1,16677,2.24
kXmO6nsA5eM,Sunday Morning Worship Service - 8/21/22 - Dean Luke A. Powery,21-Aug-22,4163,6,9,15,1174,347.9039,3,13599,4.68
lTCcsMBp6UM,Martin Luther King Jr. Commemoration - 1/19/20,19-Jan-20,6246,6,28,14,809,152.8831,2,14066,1.73
n1dI8bKmCrc,"Faith, Mental Health, and Community",4-Oct-23,3513,6,212,69,1860,444.0975,31,16859,3.45
oS7gRLAcTm8,A Sunday Morning Medley (United in Praise),3-May-21,297,6,24,45,1782,50.8375,4,10004,2.87
pLK8f8Q9S8Q,2017 Convocation for New Undergraduate Students,23-Aug-17,3199,6,60,11,2700,375.4191,1,3576,3.52
po2Z2X2NXwU,Easter Sunday Worship Service - 04/09/23 - Dean Luke Powery,9-Apr-23,4785,6,75,39,3559,891.1134,10,33444,6.26
ryXoYjfkxJE,Sunday Morning Worship Service - 8/4/19 - Dean Luke Powery,4-Aug-19,5060,6,12,7,881,217.8008,-1,8061,3.99
tCc-PhHMRMg,"Jesus, So Lowly (Harold Friedell)",29-Apr-21,176,6,71,29,2787,107.6952,2,12998,5.35
umarxElVv2k,Called to Hope,9-Oct-20,3858,6,11,8,537,56.8836,3,10566,1.62
